year,scene_id,timestamp
2018,20180716T024551_20180716T030223_T49MDP,1531710574192
2018,20180728T023549_20180728T025431_T49MDP,1532746775072
2018,20180815T024551_20180815T025247_T49MDP,1534302572295
2019,20190226T024659_20190226T030922_T49MDP,1551150572000
2019,20190404T023549_20190404T025538_T49MDP,1554346781000
2019,20190504T023559_20190504T025011_T49MDP,1556938785000
2019,20190519T023551_20190519T025224_T49MDP,1558234781000
2019,20190522T024551_20190522T030920_T49MDP,1558494576000
2019,20190601T024551_20190601T030535_T49MDP,1559358575000
2019,20190611T024551_20190611T030902_T49MDP,1560222575000
2019,20190618T023551_20190618T025810_T49MDP,1560826781000
2019,20190626T024559_20190626T030407_T49MDP,1561518581000
2019,20190628T023551_20190628T025623_T49MDP,1561690782579
2019,20190701T024551_20190701T030625_T49MDP,1561950577881
2019,20190706T024559_20190706T030606_T49MDP,1562382581000
2019,20190708T023551_20190708T025237_T49MDP,1562554783000
2019,20190711T024551_20190711T030831_T49MDP,1562814578000
2019,20190713T023559_20190713T025544_T49MDP,1562986786815
2019,20190718T023551_20190718T025226_T49MDP,1563418783212
2019,20190721T024551_20190721T030846_T49MDP,1563678578245
2019,20190723T023559_20190723T025812_T49MDP,1563850786550
2019,20190726T024559_20190726T030407_T49MDP,1564110581468
2019,20190728T023551_20190728T025707_T49MDP,1564282782876
2019,20190731T024551_20190731T030806_T49MDP,1564542577796
2019,20190802T023559_20190802T024924_T49MDP,1564714785888
2019,20190805T024559_20190805T030500_T49MDP,1564974580701
2019,20190807T023551_20190807T025153_T49MDP,1565146779837
2019,20190810T024551_20190810T030903_T49MDP,1565406576938
2019,20190812T023559_20190812T025542_T49MDP,1565578784781
2019,20190815T024549_20190815T025848_T49MDP,1565838579495
2019,20190817T023551_20190817T025810_T49MDP,1566010781034
2019,20190820T024551_20190820T030126_T49MDP,1566270575698
2019,20190825T024549_20190825T030215_T49MDP,1566702577873
2019,20190901T023549_20190901T025007_T49MDP,1567306781431
2019,20190904T024549_20190904T030307_T49MDP,1567566575869
2019,20190906T023551_20190906T025231_T49MDP,1567738777481
2019,20190909T024551_20190909T030858_T49MDP,1567998571885
2019,20190911T023549_20190911T025344_T49MDP,1568170779066
2019,20190914T024549_20190914T030403_T49MDP,1568430573394
2019,20190916T023551_20190916T025220_T49MDP,1568602777181
