year,src,n_scenes,otsu,land_ha,shoreline_km
1990,L5,37,0.125,157.2334467618815,9.364355431628798
1995,L5,44,0.156,156.96658621500652,9.185270466386818
2000,L5,30,0.172,156.5218298063151,9.781854170238796
2005,L5,47,0.125,157.14449407633464,9.244965629485769
2010,L5,20,0.141,157.96076333400356,9.185362751318095
2015,L8,61,0.094,157.9450633207194,9.424050850292959
2020,S2,23,0.125,154.80742640132226,10.418388226432903
2024,S2,31,0.094,156.18666481333412,9.58320504780763
