aoi,year,season,n_scene,threshold
Titik_02,2019,S2,28,0.004694558466256697
Titik_02,2019,S3,22,0.004694558466256697
Titik_02,2020,S2,18,0.004694558466256697
Titik_02,2020,S3,6,0.004694558466256697
Titik_02,2021,S1,7,0.004694558466256697
Titik_02,2021,S2,17,0.004694558466256697
Titik_02,2021,S3,8,0.004694558466256697
Titik_02,2022,S2,9,0.004694558466256697
Titik_02,2023,S2,26,0.004694558466256697
Titik_02,2023,S3,18,0.004694558466256697
Titik_02,2024,S2,19,0.004694558466256697
Titik_02,2024,S3,12,0.004694558466256697
Titik_02,2025,S2,17,0.004694558466256697
Titik_02,2025,S3,5,0.004694558466256697
Titik_07,2019,S2,28,-0.05539416041829938
Titik_07,2019,S3,21,-0.05539416041829938
Titik_07,2020,S2,18,-0.05539416041829938
Titik_07,2020,S3,6,-0.05539416041829938
Titik_07,2021,S1,7,-0.05539416041829938
Titik_07,2021,S2,17,-0.05539416041829938
Titik_07,2021,S3,8,-0.05539416041829938
Titik_07,2022,S2,9,-0.05539416041829938
Titik_07,2023,S2,26,-0.05539416041829938
Titik_07,2023,S3,18,-0.05539416041829938
Titik_07,2024,S2,19,-0.05539416041829938
Titik_07,2024,S3,12,-0.05539416041829938
Titik_07,2025,S2,18,-0.05539416041829938
Titik_07,2025,S3,5,-0.05539416041829938
Titik_19,2019,S2,28,0.45511040636793243
Titik_19,2019,S3,21,0.45511040636793243
Titik_19,2020,S2,18,0.45511040636793243
Titik_19,2020,S3,6,0.45511040636793243
Titik_19,2021,S1,7,0.45511040636793243
Titik_19,2021,S2,17,0.45511040636793243
Titik_19,2021,S3,8,0.45511040636793243
Titik_19,2022,S2,9,0.45511040636793243
Titik_19,2023,S2,26,0.45511040636793243
Titik_19,2023,S3,18,0.45511040636793243
Titik_19,2024,S2,19,0.45511040636793243
Titik_19,2024,S3,12,0.45511040636793243
Titik_19,2025,S2,18,0.45511040636793243
Titik_19,2025,S3,5,0.45511040636793243
Titik_04,2019,S2,28,-0.08627017989751845
Titik_04,2019,S3,22,-0.08627017989751845
Titik_04,2020,S2,19,-0.08627017989751845
Titik_04,2020,S3,6,-0.08627017989751845
Titik_04,2021,S1,7,-0.08627017989751845
Titik_04,2021,S2,17,-0.08627017989751845
Titik_04,2021,S3,8,-0.08627017989751845
Titik_04,2022,S2,9,-0.08627017989751845
Titik_04,2023,S2,26,-0.08627017989751845
